train_loss,train_AUC,train_CC,train_NSS,train_KLDiv,train_SIM,test_loss,test_AUC,test_CC,test_NSS,test_KLDiv,test_SIM
1.1575353,0.61038506,0.20276898,0.22855204,1.1575353,0.40933156,1.1329268,0.6547091,0.23021862,0.25816366,1.1329268,0.39852643
1.0601201,0.658491,0.27566817,0.31417674,1.0601201,0.42536065,1.097829,0.6762098,0.27636072,0.33285215,1.097829,0.40796944
1.0342532,0.67517596,0.29750898,0.33004934,1.0342532,0.4323788,1.0726626,0.68814814,0.30155358,0.34404483,1.0726626,0.41537577
1.0132191,0.6881961,0.31392795,0.34527346,1.0132191,0.43796894,1.0511827,0.70013154,0.324683,0.3700482,1.0511827,0.4205041
0.9907549,0.7014502,0.3315531,0.364275,0.9907549,0.44372535,1.0296044,0.70830816,0.34100872,0.39311054,1.0296044,0.427026
0.97139657,0.7103974,0.3470196,0.3768699,0.97139657,0.44960344,1.0192212,0.7180503,0.34248492,0.37863895,1.0192212,0.43178716
0.95527947,0.71881574,0.3576681,0.38748056,0.95527947,0.4550968,0.97195727,0.7268291,0.35881877,0.38047764,0.97195727,0.44629103
0.93788797,0.72888243,0.37071747,0.39949566,0.93788797,0.45959687,0.96230507,0.7356963,0.37586418,0.39396113,0.96230507,0.45091048
0.9236818,0.7337281,0.3801455,0.411859,0.9236818,0.46413228,0.93730783,0.7396762,0.38597408,0.40949744,0.93730783,0.4614148
0.9078236,0.7422067,0.39104638,0.41739586,0.9078236,0.46873462,0.9143539,0.7433479,0.40340018,0.4027658,0.9143539,0.4713123
0.89078224,0.7484223,0.40177077,0.432847,0.89078224,0.47309673,0.9089502,0.74974114,0.41826633,0.41109854,0.9089502,0.47667927
0.8714138,0.7571191,0.41428956,0.44360963,0.8714138,0.47945744,0.9036434,0.75505346,0.42520124,0.41816172,0.9036434,0.48606697
0.8511682,0.76310724,0.42738706,0.45788258,0.8511682,0.48519364,0.91057914,0.75800157,0.43126795,0.39776966,0.91057914,0.48913053
0.8353985,0.77047676,0.43935513,0.4669515,0.8353985,0.49071,0.9064601,0.7631917,0.44086173,0.40604538,0.9064601,0.4908056
0.81511015,0.7777841,0.45248157,0.4802321,0.81511015,0.49704397,0.98794323,0.7539971,0.40589955,0.3722448,0.98794323,0.47516277
0.8023987,0.7801769,0.46322832,0.4932519,0.8023987,0.50169003,0.8709923,0.77095234,0.46909693,0.43006596,0.8709923,0.503338
0.78351915,0.78676933,0.47452134,0.50150746,0.78351915,0.50776094,0.9665909,0.7474599,0.4299531,0.42281812,0.9665909,0.48626065
0.7691045,0.790874,0.48625386,0.51162845,0.7691045,0.51229364,0.8526821,0.7717319,0.486852,0.44657317,0.8526821,0.5116917
0.74705607,0.7944962,0.50040954,0.52623606,0.74705607,0.5198594,0.9194003,0.75350296,0.45799536,0.43060377,0.9194003,0.49562567
0.7170347,0.8015413,0.52049536,0.547223,0.7170347,0.5297024,0.79649794,0.7755244,0.5217166,0.5184979,0.79649794,0.524302
